win,loss,error,timestamp
4,3,2,26:37.2
17,34,29,02:17.8
1,2,2,00:35.6
1,2,1,52:17.3
13,21,118,10:22.8
0,1,0,34:30.3
1,4,0,07:55.7
0,2,0,16:46.7
0,1,1,08:49.4
1,2,0,22:36.2
25,47,25,51:12.0
2,2,2,30:59.3
1,0,0,57:34.8
13,49,1,51:42.7
3,9,0,11:20.3
0,1,0,38:17.8
1,1,0,06:33.7
17,41,4,21:52.5
0,1,0,28:23.2
1,4,2,32:22.3
1,3,0,41:03.3
2,1,0,56:32.8
16,39,10,59:27.1
3,3,0,18:59.6
1,4,0,38:47.3
1,1,0,30:51.2
25,29,19,18:50.2
0,4,0,59:00.1
0,2,0,12:08.8
26,37,18,49:49.2
1,0,5,23:26.2
0,3,2,56:16.4
1,0,0,48:35.1
1,1,0,21:54.6
29,49,7,57:05.9
0,1,0,39:35.8
0,2,0,00:43.3
0,2,0,39:01.8
1,1,0,22:45.1
30,60,12,42:31.9
3,1,0,46:37.1
1,2,0,13:09.4
23,37,8,56:04.2
2,3,1,29:07.5
1,3,0,43:21.9
22,52,3,08:49.3
3,2,0,24:45.7
2,1,0,50:36.6
31,35,15,54:54.2
0,2,4,11:43.6
2,3,0,55:09.1
26,53,12,59:12.9
1,2,0,26:39.1
0,2,0,31:42.4
0,2,0,32:53.3
0,1,0,06:55.1
0,1,0,55:20.1
24,25,8,00:51.2
1,4,0,07:51.8
1,4,0,44:28.5
3,1,2,46:47.4
1,2,0,04:21.8
23,43,12,11:11.7
3,2,3,18:40.0
0,2,0,13:44.9
25,62,13,38:55.6
0,2,1,53:55.3
13,55,6,17:20.6
4,4,0,25:40.4
0,3,1,48:12.8
1,1,0,37:16.8
0,5,205,42:02.0
0,1,0,58:26.9
1,3,2,15:41.1
1,3,0,00:41.7
10,43,4,49:48.9
0,3,2,47:03.8
0,4,0,52:52.6
14,73,9,22:59.6
1,3,0,57:26.4
0,3,0,11:33.7
21,48,19,14:30.2
1,4,0,21:49.8
1,7,0,36:07.8
1,3,1,03:31.7
22,42,3,20:42.8
0,3,2,32:37.3
0,2,0,12:25.7
13,58,136,22:28.8
0,1,2,56:14.7
0,6,0,39:59.3
15,61,13,54:06.3
1,4,0,22:08.6
1,5,241,17:47.1
1,3,14,16:53.3
0,1,0,32:48.7
9,52,6,37:11.0
0,1,12,15:03.3
1,18,1,37:12.4
2,16,3,57:21.9
1,1,76,37:24.0
0,2,0,16:24.6
0,2,0,45:51.1
1,4,0,39:50.7
1,2,2,24:25.3
3,27,10,11:07.0
0,2,0,46:24.3
1,1,0,58:30.8
16,45,12,19:27.0
16,45,12,19:27.0
0,7,0,15:26.9
0,2,0,06:19.9
28,47,10,38:36.6
0,1,0,41:31.3
0,1,0,42:53.2
1,4,0,19:30.8
1,1,0,10:36.2
3,12,244,30:49.9
0,1,0,57:44.5
6,7,2,50:20.8
2,0,0,13:27.6
16,37,8,21:17.8
1,4,0,52:52.8
16,39,8,33:11.2
1,2,0,29:25.0
4,11,203,48:30.7
0,4,0,17:47.4
1,1,0,23:23.0
0,2,0,46:07.3
18,44,8,10:31.6
2,1,10,23:19.5
32,35,8,19:01.9
2,74,7,12:50.5
2,1,0,35:13.4
13,30,348,25:33.3
37,41,10,10:13.8
1,1,0,50:07.1
20,41,8,22:10.6
1,4,0,33:27.4
3,1,2,15:33.8
0,2,1,07:27.7
17,17,109,28:00.0
25,53,9,40:53.4
26,31,4,02:28.5
1,0,0,11:51.0
1,0,0,23:54.3
0,4,0,00:14.3
9,50,10,30:55.1
4,16,180,09:33.7
27,59,4,44:23.6
3,5,248,58:22.0
8,68,9,54:59.0
28,42,9,50:27.9
1,0,2,04:37.1
0,2,3,2022-08-03 04:02:54.698208
2,6,0,2022-08-03 14:03:07.149310
6,3,0,2022-08-03 15:54:01.032013
30,37,7,2022-08-04 14:10:11.654802
1,1,15,2022-08-04 15:32:17.338339
0,1,0,2022-08-05 01:20:14.679897
1,1,0,2022-08-05 04:08:42.395985
18,49,1,2022-08-05 13:33:43.197941
2,1,0,2022-08-06 02:53:22.651231
0,1,0,2022-08-06 03:13:48.736149
1,0,0,2022-08-06 03:14:58.724337
30,41,9,2022-08-06 14:03:06.153011
2,1,0,2022-08-07 02:22:35.733117
1,0,0,2022-08-07 02:32:00.140851
1,0,0,2022-08-07 02:41:26.070042
11,4,0,2022-08-07 03:06:07.472933
28,43,2,2022-08-07 13:28:23.139231
8,2,0,2022-08-08 02:34:10.804364
2,3,0,2022-08-08 03:29:14.082859
6,2,0,2022-08-09 01:45:07.271618
5,0,4,2022-08-09 03:15:58.394038
1,0,0,2022-08-09 03:32:00.991309
1,0,2,2022-08-09 14:34:47.115108
5,1,2,2022-08-10 03:27:23.935820
1,0,0,2022-08-10 03:35:49.610719
2,0,0,2022-08-10 03:47:40.611327
1,0,0,2022-08-10 03:49:44.101917
